,address,name,online_order,book_table,rating,votes,location,cuisines,cost_per_person,type_of_restaurant
10,"12,29 Near PES University Back Gate, D'Souza Nagar, Hosakerehalli, 3rd Stage, Banashankari, Bangalore",CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,Yes,No,4.1,402,Banashankari,Cafe,250.0,Cafes
11,"941, 3rd FLOOR, 21st Main, 22nd Cross, Banashankari 2nd stage, Opposite to BDA complex, Banashankari",Cafe Shuffle,Yes,Yes,4.2,150,Banashankari,"Cafe, Italian, Continental",300.0,Cafes
12,"6th Block, 3rd Stage, Banashankari, Bangalore",The Coffee Shack,Yes,Yes,4.2,164,Banashankari,"Cafe, Chinese, Continental, Italian",250.0,Cafes
13,"111, Sapphire Toys Building, 100 Feet Ring Road, Banashankari, Bangalore",Caf-Eleven,No,No,4.0,424,Banashankari,"Cafe, Continental",225.0,Cafes
14,"1112, Next to KIMS Medical College, 17th Cross, 2nd Stage, Banashankari, Bangalore",San Churro Cafe,Yes,No,3.8,918,Banashankari,"Cafe, Mexican, Italian",400.0,Cafes
15,"2303, 21st Cross, K R Road, 2nd Stage, Banashankari, Bangalore",Cafe Vivacity,Yes,No,3.8,90,Banashankari,Cafe,325.0,Cafes
16,"241, 4th Floor, 100 Feet Ring Road, Opposite Kamakya Theatre, Banashankari, Bangalore",Catch-up-ino,Yes,No,3.9,133,Banashankari,"Cafe, Fast Food, Continental, Chinese, Momos",400.0,Cafes
17,"405, 24th Cross, 9th Main, 2nd Stage, Banashankari, Bangalore",Kirthi's Biryani,Yes,No,3.8,144,Banashankari,"Chinese, Cafe, Italian",350.0,Cafes
18,"504, CJ Venkata Das Road, Padmanabhangar, 2nd Stage, Banashankari, Bangalore",T3H Cafe,No,No,3.9,93,Banashankari,"Cafe, Italian, American",150.0,Cafes
19,"47, 48 &49, 3Rd Floor, 21st Main Road, 2nd Stage, Banashankari, Bangalore",360 Atoms Restaurant And Cafe,Yes,No,3.1,13,Banashankari,"Cafe, Chinese, Continental, Italian",200.0,Cafes
20,"146, 50 ft Road, 3rd Phase, 3rd Stage, Near Katriguppe Water Tank Circle, Banashankari, Bangalore",The Vintage Cafe,Yes,No,3.0,62,Banashankari,"Cafe, French, North Indian",200.0,Cafes
21,"3353, 2nd Cross, Opposite Auden School, Hoskerehalli Cross, 3rd Stage, Banashankari, Bangalore",Woodee Pizza,Yes,No,3.7,180,Banashankari,"Cafe, Pizza, Fast Food, Beverages",250.0,Cafes
22,"SRF Complex, Near BDA Complex, Kathreguppe Main Road, Banashankari, Bangalore",Cafe Coffee Day,No,No,3.6,28,Banashankari,"Cafe, Fast Food",450.0,Cafes
23,"224/Y, 4th Phase, 7th Block, 100 Feet Ring Road, Near Kamakya Theatre, Banashankari, Bangalore",My Tea House,Yes,No,3.6,62,Banashankari,"Italian, Fast Food, Cafe, European",300.0,Cafes
24,"775/1, Opposite Gupta Collage, 7th Block, 3rd Stage, Banashankari, Bangalore",Hide Out Cafe,No,No,3.7,31,Banashankari,Cafe,150.0,Cafes
25,"101, Water Tank Road, 2nd Block, 3rd Stage, Banashankari, Bangalore",CAFE NOVA,No,No,3.2,11,Banashankari,"Cafe, Bakery",300.0,Cafes
26,"27th Cross Rd, Banashankari Stage II, Banashankari, Bangalore",Coffee Tindi,Yes,No,3.8,75,Banashankari,"Cafe, South Indian",100.0,Cafes
27,"1036, Srinidhi Plaza, 3rd floor, Above Nilgiris, Stage 2, Banashankari, Bangalore",Sea Green Cafe,No,No,3.3,4,Banashankari,"Cafe, Fast Food, Beverages",250.0,Cafes
28,"940, Shantha Complex, 20th Main, 2nd Stage, Banashankari, Bangalore",Cuppa,No,No,3.3,23,Banashankari,"Cafe, Fast Food",275.0,Cafes
29,"112, Bull Temple Road,next to more Basavanagudi, Bangalore",Srinathji's Cafe,No,No,3.8,148,Basavanagudi,"North Indian, Cafe, Chinese, Fast Food",275.0,Cafes
30,"30, Surveyor Street, DVG Road, Basavanagudi, Bangalore",Redberrys,Yes,No,4.0,219,Basavanagudi,"Cafe, Italian",300.0,Cafes
31,"2/1, 7th Main, Dwarakangar, Hosakeregalli, Banashankari, Bangalore",Foodiction,Yes,No,2.8,506,Banashankari,"North Indian, Fast Food, Chinese, Burger",250.0,Delivery
32,"101 Ground Floor, Manjunatha Complex, 22nd Main Road, Banashankari, Bangalore",Sweet Truth,Yes,No,3.9,35,Banashankari,"Bakery, Desserts",250.0,Delivery
33,"101, Ground Floor, Manjunatha Complex, 22nd Main Road, 2nd Stage, Banashankari, Bangalore",Ovenstory Pizza,Yes,No,3.9,172,Banashankari,Pizza,375.0,Delivery
34,"80, BDA Complex, 2nd Stage, Banashankari, Bangalore",Faasos,Yes,No,4.2,415,Banashankari,"North Indian, Biryani, Fast Food",250.0,Delivery
35,"101, Ground Floor, Manjunatha Complex, 22nd Main Road, 2nd Stage, Banashankari, Bangalore",Behrouz Biryani,Yes,No,3.9,230,Banashankari,Biryani,325.0,Delivery
36,"32, 7th Main Road, Dwaraka Nagar,Near PES College, Banashankari, Bangalore",Fast And Fresh,Yes,No,2.8,91,Banashankari,"North Indian, Chinese, Fast Food",200.0,Delivery
37,"8, 2nd Floor, 1st Main, Arush Trapeze, Mount Joy Road, Behind BMS College of Engineering, Hanumanthnagar, Banashankari, Bangalore",Szechuan Dragon,Yes,No,4.2,1647,Banashankari,"Chinese, Thai, Momos",300.0,Delivery
38,"4, Opposite NMKRV College, 21st C Cross Road, 3rd Block, Jayanagar, Bangalore",Empire Restaurant,Yes,No,4.4,4884,Jayanagar,"North Indian, Mughlai, South Indian, Chinese",375.0,Delivery
39,"556/A, Water Tank Road, 3rd Stage, Banashankari, Bangalore",Maruthi Davangere Benne Dosa,Yes,No,4.0,17,Banashankari,South Indian,75.0,Delivery
40,"39, 3rd Main,4th Cross, Hanumanth Nagar, Near, Basavanagudi, Bangalore",Chaatimes,Yes,No,3.8,133,Basavanagudi,"Street Food, Fast Food",100.0,Delivery
41,"Opp Vinayaka hospital, Near Seetha Circle , 80 Feet Road, Banashankari, Bangalore",Havyaka Mess,No,No,3.9,28,Banashankari,South Indian,150.0,Delivery
42,"2466, Bhaskar Grand Tower, 24th Cross, Opposite BDA Complex, Banashankari, Bangalore",McDonald's,Yes,No,3.9,286,Banashankari,"Burger, Fast Food",250.0,Delivery
43,"645, 1st Floor, 24th Cross, 24th Main, 2nd Stage, Banashankari, Bangalore",Domino's Pizza,Yes,No,3.9,540,Banashankari,"Pizza, Fast Food",400.0,Delivery
44,"2469, 3rd Floor, 24th Cross, Opposite BDA Complex, 2nd Stage, Banashankari, Bangalore",Onesta,Yes,Yes,4.6,2556,Banashankari,"Pizza, Cafe, Italian",300.0,Delivery
45,"2nd Stage, Banashankari, Bangalore",Hotboxit,No,No,3.8,36,Banashankari,"North Indian, Continental, Italian",200.0,Delivery
46,"1750, 14th Main, Police Station Road, Kumaraswamy Layout, Bangalore",Kitchen Garden,Yes,No,3.6,244,Kumaraswamy Layout,"North Indian, Chinese",150.0,Delivery
47,"1621, 1st Floor, 50 Feet Main Road, Kumaraswamy Layout, Bangalore",Recipe,Yes,No,4.0,804,Kumaraswamy Layout,"North Indian, Chinese, Biryani, Rolls",225.0,Delivery
48,"179, 1st Floor, Jawarlalnehru Road, BEML Layout, Rajarajeshwari Nagar, Bangalore",Beijing Bites,Yes,No,3.7,679,Rajarajeshwari Nagar,"Chinese, Thai",425.0,Delivery
49,"1607, Sagar Hospital Road, Near Dayanandasagar College, Kumaraswamy Layout, Bangalore",Tasty Bytes,Yes,No,3.1,245,Kumaraswamy Layout,"North Indian, Chinese, Momos, Rolls",150.0,Delivery
50,"276, Ground Floor, 100 Feet Outer Ring Road, Banashankari 3rd Stage, Banashankari, Bangalore",Petoo,No,No,3.7,21,Banashankari,North Indian,225.0,Delivery
51,"1514, 4th Cross, 7th Main, RPC layout, 2nd Stage, Vijay Nagar, Bangalore",Shree Cool Point,Yes,No,4.1,28,Vijay Nagar,"Fast Food, Street Food, Beverages",75.0,Delivery
52,"808/6-1, 24th A Cross, K.R Road, 2nd Stage, Banashankari, Bangalore",Corner House Ice Cream,No,No,4.3,345,Banashankari,"Ice Cream, Desserts",200.0,Delivery
53,"178, Next To Old KEB Office, 8th F Main Road, 24b Cross, 3rd Block, Jayanagar, Bangalore",Biryanis And More,Yes,No,4.0,618,Jayanagar,"Biryani, North Indian, Chinese, Andhra, South Indian",375.0,Delivery
54,"78, 21st Main Road, Near BDA Complex, 2nd Stage, Banashankari, Bangalore",Roving Feast,No,No,4.0,1047,Banashankari,"Italian, Continental, Fast Food, Chinese, Momos",225.0,Delivery
55,"10, Stavyah Arcade, 3rd Floor 9th Main, Yarab Nagar Main Road, Banashankari, Bangalore",FreshMenu,Yes,No,3.9,627,Banashankari,"Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",225.0,Delivery
56,"218/1,11th Main, 50 Feet Road, Hanumanthnagar, Banashankari, Bangalore",Banashankari Donne Biriyani,Yes,No,3.8,104,Banashankari,"Biryani, Fast Food",150.0,Delivery
57,"2466, Bhaskar Grand Tower, 24th Cross, Opposite BDA Complex, Banashankari, Bangalore",Wamama,Yes,Yes,4.2,354,Banashankari,"Asian, Korean, Indonesian, Japanese, Chinese, Thai, Momos",400.0,Delivery
58,"484/A, 1st Stage, 2nd Block, 4th Main Rd, SBM Colony, Seetha Circle, Banashankari, Bangalore",Five Star Chicken,No,No,3.6,55,Banashankari,"Fast Food, Burger",100.0,Delivery
59,"18, B K Complex, Opposite To BDA Complex, 21st, Main Road, 2nd Stage, Banashankari, Bangalore",XO Belgian Waffle,Yes,No,3.7,17,Banashankari,"Desserts, Beverages",200.0,Delivery
60,"942, 3rd Floor, 21st Main Road, 2nd Stage, Banashankari, Bangalore",Peppy Peppers,No,No,4.2,244,Banashankari,"Italian, North Indian, Mexican",400.0,Delivery
61,"1828, 50 Feet Road, 2nd Stage, Kumaraswamy Layout, Bangalore",Goa 0 Km,Yes,Yes,3.6,163,Kumaraswamy Layout,"Goan, Seafood, North Indian, Chinese, Biryani",400.0,Delivery
62,"67, Kanasu Complex, Kubirmutt Road, Hunumathathangar, Basavanagudi, Bangalore",Chinese Kitchen,Yes,No,3.8,58,Basavanagudi,Chinese,75.0,Delivery
63,"296, Ram Towers, 100 Feet Ring Road, Banashankari, Bangalore",1947,No,Yes,4.0,808,Banashankari,"North Indian, Chinese",425.0,Delivery
64,"295/B, 7th Main Road, 100 Feet Ring Road, 7th Block, 3rd Stage, Banashankari, Bangalore",Cake of the Day,No,No,3.7,78,Banashankari,Bakery,75.0,Delivery
65,"31, Opposite Vijaya College, RV Road, Basavanagudi, Bangalore",Kabab Magic,Yes,No,4.1,1720,Basavanagudi,"North Indian, Kebab, Chinese, Fast Food",200.0,Delivery
66,"30th Cross, 8th Main, Near Jain Temple, 4th Block, Jayanagar, Bangalore",Namma Brahmin's Idli,Yes,No,3.6,34,Jayanagar,South Indian,50.0,Delivery
67,"10, 30th Main, Deve Gowda Petrol Bunk Road, 3rd Stage, Banashankari, Bangalore",Gustoes Beer House,No,No,4.1,868,Banashankari,"Continental, Italian, Mexican, North Indian, Chinese, Steak",600.0,Delivery
68,"186, 11th Main, 4th Cross, Hanumanthnagar, Banashankari, Bangalore",Sugar Rush,No,No,3.8,39,Banashankari,"Bakery, Desserts",150.0,Delivery
69,"59/3, Ground & First Floor, West Anjaneya Temple Road, Ward 49, Gandhi Bazaar, Basavanagudi, Bangalore",Burger King,Yes,No,3.2,71,Basavanagudi,"Burger, Fast Food, Beverages",300.0,Delivery
70,"101, Ground Floor, Manjunatha Complex, 22nd Main Road, 2nd Stage, Banashankari, Bangalore",The Good Bowl,Yes,No,3.6,6,Banashankari,"Italian, North Indian, Biryani",250.0,Delivery
71,"476, 2nd Floor, 9th Cross, Avalahalli BDA Park, BSK 3rd Stage, Banashankari, Bangalore",The Biryani Cafe,No,No,4.1,520,Banashankari,"Biryani, Chinese, Kebab",150.0,Delivery
72,"Opposite ICICi Bank, Hanuman Nagar, Banashankari, Bangalore",Spicy Tandoor,No,No,0.0,0,Banashankari,North Indian,75.0,Delivery
73,"100 Feet Road, 3rd Stage, Banashankari, Bangalore",LSD Cafe,No,No,2.9,84,Banashankari,"Chinese, Continental, Italian, North Indian",350.0,Delivery
74,"Shop 33 & 30, 21st Main, Near BDA Complex, 2nd Stage, Banashankari, Bangalore",Rolls On Wheels,No,No,3.6,299,Banashankari,"Fast Food, Rolls, Momos",150.0,Delivery
75,"39, S B M Colony, Near-Sita Circle, 1st Stage, Banashankari, Bengaluru",Om Sri Vinayaka Chats,No,No,0.0,0,Banashankari,"Street Food, Fast Food",250.0,Delivery
76,"49/1, Subbaraoshetty Road, Netkallappa Circle, Basavanagudi, Bangalore",Sri Guru Kottureshwara Davangere Benne Dosa,Yes,No,4.1,558,Basavanagudi,South Indian,75.0,Delivery
77,"16th Main Road, Near PESIT College, Banashankari, Bangalore",Devanna Dum Biriyani Centre,Yes,No,3.6,28,Banashankari,"Biryani, South Indian",150.0,Delivery
78,"1430, 22nd Cross, Next To Coffee Day, Near BDA Complex, Banashankari, Bangalore",Kolbeh,No,No,3.7,22,Banashankari,Fast Food,250.0,Delivery
79,"727, 23rd Cross, KR Road, 2nd Stage, Banashankari, Bangalore",Upahar Sagar,No,No,3.8,39,Banashankari,"South Indian, Chinese, North Indian",175.0,Delivery
80,"36, 2nd Main, RPC Layout, Vijay Nagar, Bangalore",Kadalu Sea Food Restaurant,Yes,No,3.8,153,Vijay Nagar,"Seafood, North Indian, Chinese, Andhra, Biryani, Kebab",250.0,Delivery
81,"2477, 24th Cross Road, Siddanna Layout, Stage 2, Banashankari, Bangalore",Frozen Bottle,Yes,No,4.2,146,Banashankari,"Beverages, Desserts, Ice Cream",200.0,Delivery
82,"1142, 22nd Cross, 30th Main, Banashankari, Bangalore",Parimala Sweets,No,No,3.5,14,Banashankari,"Mithai, Street Food",100.0,Delivery
83,"512, 2nd Cross, 3rd Stage, Banashankari, Bangalore",Vaishali Deluxe,No,No,3.8,42,Banashankari,"North Indian, Chinese",350.0,Delivery
84,"161/C, 6th Main, 80 Feet Road, Bhuvaneshwari Nagercoil, Banashankari, Bangalore",Chill Out,No,No,0.0,0,Banashankari,"South Indian, Chinese",50.0,Delivery
85,"45/12, 4th Cross, 10th Main, Gururaja Layout, Banashankari, Bangalore",The Big O Bakes,No,No,4.0,66,Banashankari,"Bakery, Desserts",150.0,Delivery
86,"52, 1st Floor, 33rd Cross, 4th Block, Jayanagar, Bangalore",Meghana Foods,Yes,No,4.4,4401,Jayanagar,"Biryani, North Indian, Chinese",300.0,Delivery
87,"38, 22nd Main, 22nd Cross, Opposite BDA, 2nd Stage, Banashankari, Bangalore",Krishna Sagar,No,No,3.5,31,Banashankari,North Indian,100.0,Delivery
88,"1/34, 3rd Cross Road, Kathriguppe IV Phase, Banashankari 3rd Stage, Banashankari, Bangalore",Dessert Rose,No,No,3.5,7,Banashankari,Desserts,250.0,Delivery
89,"480/A, 50 feet road, Nagendra block, Near PES College, Nagendra block, Banashankari, Bangalore",Chickpet Donne Biryani House,No,No,3.7,21,Banashankari,Biryani,125.0,Delivery
90,"BDA Shopping Complex, 24th Cross Road, Siddanna Layout, 2nd Stage, Banashankari, Bangalore",Me And My Cake,No,No,0.0,0,Banashankari,"Bakery, Desserts",250.0,Delivery
91,"Shop 18 , 3rd cross road,Markandeya Layout, Banashankari, Bangalore",Sunsadm,No,No,0.0,0,Banashankari,South Indian,200.0,Delivery
92,"625, 5th Cross Road, Hanumanthnagar, Banashankari, Bangalore",Annapooraneshwari Mess,No,No,0.0,0,Banashankari,South Indian,100.0,Delivery
93,"941, 21st Main Road, BSK 2nd Stage , Near BDA Complex, Banashankari, Bangalore",Thanco's Natural Ice Creams,No,No,3.2,9,Banashankari,Ice Cream,150.0,Delivery
94,"304, Opposite Apollo Public School, 100 Feet Ring Road, 4th Phase, 7th Block, Banashankari 3rd Stage, Bangalore,",Nandhini Deluxe,No,No,2.6,283,Banashankari,North Indian,300.0,Delivery
95,"3828, Near Deve Gowda Petrol Bunk, 30th Cross, 3rd Stage, Banashankari, Bangalore",Vi Ra's Bar and Restaurant,No,No,3.3,62,Banashankari,"South Indian, North Indian, Chinese",400.0,Delivery
96,"50 Feet Road, Hanumanthanagar, Banashankari, Bangalore",Kaggis,No,No,3.8,64,Banashankari,"Fast Food, Bakery",125.0,Delivery
97,"34, 22nd Main, 22nd Cross, Opposite BDA, 2nd Stage, Banashankari, Bangalore",Ayda Persian Kitchen,No,No,3.7,39,Banashankari,"North Indian, Iranian",475.0,Delivery
98,"24/1, 23rd Cross, 6th Main Road, Opposite Kaveri Grameena Bank, 2nd Stage, Banashankari, Bangalore",Chatar Patar,No,No,3.7,65,Banashankari,"Fast Food, Street Food",150.0,Delivery
99,"96, Opposite Jain Collage, Basavanagudi, Bangalore",Polar Bear,Yes,No,3.8,71,Basavanagudi,"Ice Cream, Desserts, Beverages, Sandwich",200.0,Delivery
100,"2465, 3rd Floor, Opposite BDA Complex, 24th Cross, Banashankari, Bangalore",Kidambi's Kitchen,No,No,3.5,52,Banashankari,South Indian,150.0,Delivery
101,"295/A, 7th Main road, 7th Block, 3rd Stage, Banashankari, Bangalore",Mane Thindi,No,No,3.7,130,Banashankari,South Indian,100.0,Delivery
102,"1189, 10th Cross, Shankarnag Circle, 1st Stage, 2nd Block, Banashankari, Bangalore",Kotian Karavali Restaurant,No,No,3.5,10,Banashankari,"South Indian, Biryani",150.0,Delivery
103,"415, 1st C Cross, Banashankari 3rd Stage, 5th Block, Bangalore, Banashankari, Bangalore",Floured-Baked With Love,No,No,3.8,45,Banashankari,Bakery,200.0,Delivery
104,"101, Water Tank Road, 2nd Block, 3rd Stage, Banashankari, Bangalore",CAFE NOVA,No,No,3.2,11,Banashankari,"Cafe, Bakery",300.0,Delivery
105,"27, 80 Feet Road, Srinivasnagar, Banashankari, Bangalore",Cakes & Slices,No,No,3.5,13,Banashankari,"Bakery, Desserts",150.0,Delivery
106,"Number 42, 4th Block, 6th Stage Banashankari, Vrishabhvachi Nagar, Opposite RV College of Architecture, Bangalore",Spice 9,No,No,3.4,8,Banashankari,"Biryani, North Indian, Chinese, Fast Food",150.0,Delivery
107,"1722, 13th Main Road 31st Cross BSK, 2nd Stage, Banashankari, Bangalore",Coffee Shopee,No,No,0.0,0,Banashankari,Beverages,125.0,Delivery
108,"2, 3rd Cross, Near Pesit College, Banashankari, Bangalore",Naveen Kabab & Biriyani Mane,No,No,3.2,9,Banashankari,Biryani,150.0,Delivery
109,"8, Katriguppe Main Road, Vivekananda Nagar, 3rd Stage, Banashankari, Bangalore",Katriguppe Donne Biryani,No,No,3.2,4,Banashankari,North Indian,150.0,Delivery
110,"594, 24 The Cross BSK, Opposte Oriental Bank, Banashankari, Bangalore",Hari Super Sandwich,No,No,0.0,0,Banashankari,"Sandwich, Pizza, Beverages",100.0,Delivery
111,"7/1, Behind BMS College Hostel, 80 Feet Road, 1st Stage, Srinivas Nagar Bank Colony, Banashankari, Bangalore",Atithi Point Ande Ka Funda,No,No,3.1,29,Banashankari,North Indian,75.0,Delivery
112,"3967, VHBC Society, Girinagar Phase 4, Hosekerehalli Mani Road, Banashankari 3rd Stage, Banashankari, Bangalore",Just Bake,No,No,3.4,8,Banashankari,"Bakery, Desserts",200.0,Delivery
113,"Shop 25, 1st Cross, 50 Feet Main Road, Near BDA Park, Girinagar, Banashankari, Bangalore",Dharwad Line Bazaar Mishra Pedha,No,No,0.0,0,Banashankari,Mithai,75.0,Delivery
114,"Near Seetha Circle, Vivekananda Park Road, Girinagar, Banashankari, Bangalore",Cake Bite,No,No,0.0,0,Banashankari,Bakery,150.0,Delivery
115,"41/10, Near PESIT Collage, 8th Main Road, 1st Cross, Dwarakanagar, Banashankari, Bangalore",Aarush's Food Plaza,No,No,0.0,0,Banashankari,"North Indian, Street Food",100.0,Delivery
116,"3148, 2nd Cross, 4th Phase Girinagar, Near Hosagarnahalli Cross, Banashankari, Bangalore",Wood Stove,No,No,0.0,0,Banashankari,South Indian,75.0,Delivery
117,"662, 19th Main, Kidney Foundation, Padmanabhan Nagar, Banashankari, Bangalore",Kulfi & More,No,No,0.0,0,Banashankari,"Ice Cream, Desserts, Juices",75.0,Delivery
118,"1189, 9th Main, Ashok Nagar, Bank 1st Stage, Banashankari, Bangalore",Kannadigas Karavali,No,No,0.0,0,Banashankari,"Mangalorean, South Indian, North Indian",125.0,Delivery
119,"27, 27th Cross, 2nd Stage, Banashankari, Bangalore",K27 - The Pub,No,No,3.1,30,Banashankari,"Chinese, North Indian",500.0,Delivery
120,"4001/4002, Annapoorneshwari Plaza, Near Seetha Circle, Hosakerehalli Cross, Banashankari, Bangalore",Bengaluru Coffee House,Yes,No,4.1,201,Banashankari,"South Indian, North Indian, Chinese, Street Food",150.0,Delivery
121,"89, Near PES College, 22nd Main Road, Girinagar, 1st Stage, Banashankari, Bangalore",New Mangalore Lunch Home,No,No,3.3,7,Banashankari,"Mangalorean, South Indian, North Indian",100.0,Delivery
122,"10th Main, Hanumanthanagar, 50 Feet Road, Phase 1, Banashankari, Bangalore",Coffee Bytes,No,No,3.1,6,Banashankari,"Fast Food, South Indian",50.0,Delivery
123,"68, Opposite ICICI Bank, 21st Main Road, 2nd Stage, Banashankari, Bangalore",Parjanya Chat Zone,No,No,3.3,17,Banashankari,"Street Food, Fast Food",100.0,Delivery
124,"590, 24th Cross, 2nd Stage, Banashankari, Bangalore",Kwality Wall's Swirl's Happiness Station,No,No,2.9,25,Banashankari,"Ice Cream, Desserts",100.0,Delivery
125,"346, 7th Cross, 8th Main Road, Padmanabham Nagar, Banashankari, Bangalore",Soms Kitchen & Bakes,No,No,0.0,0,Banashankari,"South Indian, North Indian, Continental",200.0,Delivery
126,"17/1, Ramalh Garden, Kadieranahall Circle, Near Raghavendra Flour Mill, Dr Vishnuvardhan Main Road, BSK 2nd Stage, Banashankari, Bangalore",Banashankari Nati Style,No,No,0.0,0,Banashankari,"Biryani, Chinese, South Indian, North Indian",175.0,Delivery
127,"Padmanabhanagar, Banashankari, Bangalore",Ruchi Maayaka,No,No,3.3,8,Banashankari,South Indian,50.0,Delivery
128,"29, 5th Cross, Near PES College, 100 Feet Road, Dwaraka Nager, Banashankari, Bangalore",Mohitesh Hut Roll,No,No,0.0,0,Banashankari,"Rolls, North Indian",75.0,Delivery
129,"692, 12th Cross, 7th Block Kankapura Main Road, Banashankari, Bangalore",Sri Basaveshwar Jolada Rotti Oota,No,No,0.0,0,Banashankari,South Indian,75.0,Delivery
130,"28, 4th Cross Road, Dwaraka Nagar, Banashankari, Bengaluru",Roll Magic Fast Food,No,No,0.0,0,Banashankari,"Biryani, Rolls, Chinese",100.0,Delivery
131,"3/16, 22 Main Road, Magenta Block, PES College, Road Bank Colony, Banashankari, Bangalore",Foodlieious Multi Cuisine,No,No,0.0,0,Banashankari,North Indian,50.0,Delivery
132,"17/1, Ramaiah Garden, Kadirenahalli Circle, Dr Vishnuvardhan Main Road, 2nd Stage, Banashankari, Bangalore",Thanishka Nati And Karavali Style,No,No,0.0,0,Banashankari,"Biryani, Fast Food",200.0,Delivery
133,"2/1, 7th Main, Dwarakangar, Banashankari, Bangalore",Swathi Cool Point,No,No,0.0,0,Banashankari,"Beverages, Juices",100.0,Delivery
134,"487, Cauvery Complex, S.B.M Colony, 80 Feet Road, Banashankri, Bangalore",Kaumudis Juoice,No,No,0.0,0,Banashankari,"Beverages, Fast Food, Juices",75.0,Delivery
135,"10, 4th cross, Muneshwara Block, Devinagar, Banashankari, Bangalore",Amma - Manae,No,No,0.0,0,Banashankari,South Indian,200.0,Delivery
136,"559/1, Opposite Canara Bank ATM, Pipelane Road, Sri Nagar, Banashankari, Bengaluru",Sri Sai Tiffannies,No,No,0.0,0,Banashankari,"South Indian, Chinese",75.0,Delivery
137,"263, 3rd Main Road, Chikka Laksandra, Banashankari, Bangalore",Hotel Andhra Speices,No,No,0.0,0,Banashankari,Andhra,125.0,Delivery
138,"57, 3rd cross, 80 feet Road, Banashankari, Bangalore",Sri Murari Family Restaurant,No,No,0.0,0,Banashankari,Biryani,125.0,Delivery
139,"94, Katriguppe Main Road, Opposite Pai Showroom, Banashankari, Bangalore",Aramane Donne Biriyani,No,No,0.0,0,Banashankari,"South Indian, Biryani",75.0,Delivery
140,"66, Benaka, 2nd Cross, 2nd Main, Kathriguppe East, 3rd Stage, Banashankari, Bangalore",Darkolates,No,No,0.0,0,Banashankari,Desserts,100.0,Delivery
141,"617, 100 Feet Ring Road Next to Devegowda Petrol Pump, Banashankari, Bangalore",Swaada Healthy Kitchen,No,No,0.0,0,Banashankari,"Healthy Food, Juices, Sandwich",175.0,Delivery
142,"209, 5th Cross, AG Thaneerappa Road, 1st Phase Girinagar, Ganapathi Nagar, Banashankari Stage I, Banashankari, Bengaluru",Gawdaru Mane Beriyani,No,No,0.0,0,Banashankari,"South Indian, Biryani",150.0,Delivery
143,"Bhuvaneshwari Nagar BSK 3RD Stage, Banashankari, Bangalore",Melting Melodies,No,No,0.0,0,Banashankari,"Pizza, Fast Food",50.0,Delivery
144,"77, 50 Ft Road, Hanumathnagara, Banashankari, Bangalore",New Indraprasta,No,No,0.0,0,Banashankari,"South Indian, Beverages",75.0,Delivery
145,"21, 80 Feet Road, 3rd Phase, 4th Block, 3rd Stage, Banashankari, Bangalore",Anna Kuteera,Yes,No,4.0,771,Banashankari,"South Indian, North Indian, Chinese",225.0,Delivery
146,"1, Near BDA Complex, 24th Main, 2nd Stage, Banashankari, Bangalore",Darbar,No,No,3.0,98,Banashankari,"North Indian, Chinese",400.0,Delivery
